date,headline,source,summary
2025-01-01,Change in Senior Management,BSE,Change In Senior Management
2025-01-01,Superannuation of Director (Technology & Field Services),BSE,Announcement under Regulation 30 (LODR)-Cessation
2025-01-02,Additional Charge of the post of Director (Technology & Field Services),BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2025-01-07,Change in Senior Management,BSE,Change In Senior Management
2025-01-08,Change in Senior Management,BSE,Change In Senior Management
2025-01-08,"Compliance Certificate under Regulation 74(5) of SEBI  (Depositories and Participants) Regulations, 2018 for the quarter ended 31.12.2024.",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2025-01-08,Engagement of Technical Services Provider (TSP) for Mumbai High Field,BSE,Engagement Of Technical Services Provider (TSP) For Mumbai High Field
2025-01-09,Change in Senior Management,BSE,Change In Senior Management
2025-01-09,ONGC onboards Technical  Services Provider for enhancing Production from Mumbai High Field,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-01-13,"Oil And Natural Gas Corporation Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 31/01/2025 ,inter alia, to consider and approve Un-Audited ....",BSE,"Board Meeting Intimation for Consideration Of Un-Audited Financial Results (Standalone And Consolidated) For The Quarter And Nine Months Ended 31St December, 2024 And Recommendation Of 2Nd Interim Dividend, If Any, For The FY'25."
2025-01-13,Change in Senior Management,BSE,Change In Senior Management
2025-01-22,"The Company has received Order-in-Original dated 16.01.2025 from the Office of CGST & Central Excise, Mumbai South Commissionerate.",BSE,"Disclosure Of Event Or Information Under Regulation 30 Of SEBI (LODR) Regulations, 2015"
2025-01-23,"In terms of Regulation 42 of SEBI (LODR) Regulations, 2015, Friday, 7th February, 2025 has been fixed as Record Date for payment of 2nd Interim Dividend, if any declared by the Board.",BSE,Intimation Of Record Date
2025-01-24,Completion of tenure of Dr. Madhav Singh as Independent Director,BSE,Announcement under Regulation 30 (LODR)-Cessation
2025-01-29,Intimation of Analyst(s) & Investor(s) Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-01-30,Change in Senior Management,BSE,Change In Senior Management
2025-01-31,The Board has declared 2nd Interim Dividend of Rs. 5 per share for FY''25.,BSE,Corporate Action-Board approves Dividend
2025-01-31,Integrated Filing for the quarter and nine months ended 31.12.2024.,BSE,Integrated Filing (Financial)
2025-01-31,ONGC declares results for Q3 FY''25,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-01-31,The Board has approved Financial Results for the quarter and nine months ended 31.12.2024.,BSE,Financial Results For The Quarter And Nine Months Ended 31.12.2024.
2025-02-01,Change in Senior Management,BSE,Change In Senior Management
2025-02-03,Link for Audio Recording of Analyst(s) & Investor(s) Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-02-03,Presentation for Analyst(s) & Investor(s) Meet,BSE,Announcement under Regulation 30 (LODR)-Investor Presentation
2025-02-04,"The Company has received Order-in-Original dated 23.01.2025 from the Office of the Commissioner of CGST & Central Excise, Chennai North Commissionerate.",BSE,"Disclosure Of Event Or Information Under Regulation 30 Of SEBI (LODR) Regulations, 2015"
2025-02-06,Change in Senior Management,BSE,Change In Senior Management
2025-02-10,Analyst/ Investor Meet: Outcome (Transcript),BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2025-02-10,ONGC and bp sign contract to enhance production from Mumbai High,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-02-12,ONGPL signs Share Purchase Agreement for 100% Acquisition of Ayana Renewable Power Private Limited.,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-02-12,ONGC NTPC Green Pvt. Ltd. (ONGPL) has signed Share Purchase Agreement for acquisition of 100%  equity stake in AYANA RENEWABLE POWER PRIVATE LIMITED.,BSE,"Share Purchase Agreement For Acquisition Of 'AYANA RENEWABLE POWER PRIVATE LIMITED"""
2025-02-12,Schedule of Analyst/ Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-02-18,"ONGC achieves B- Rating in 2024 CDP Climate Score, strengthening commitment to sustainability",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-02-24,"The Board of Directors of the Company at its meeting held today i.e. 24.02.2025, has inter-alia considered and approved the following business items:
1. Investment in wholly owned subsidiary ....",BSE,Board Meeting Outcome for Outcome Of The Board Meeting
2025-02-25,"The Exchange has sough clarification from Oil and Natural Gas Corporation Ltd with reference to the media report appearing on https://zeenews.india.com dated February 24, 2025 titled ""Did ....",BSE,Clarification sought from Oil and Natural Gas Corporation Ltd
2025-02-26,Clarification on media report(s) dated 24.02.2025.,BSE,Rumour verification - Regulation 30(11)
2025-03-01,Schedule of Analyst/ Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-03-01,Change in Senior Management,BSE,Change In Senior Management
2025-03-04,Investment in ONGC Green Limited and Acquisition of PTC Energy Limited.,BSE,Announcement under Regulation 30 (LODR)-Acquisition
2025-03-06,Appointment of Director (Technology and Field Services),BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2025-03-07,Exit of ONGC Petro additions Limited from SEZ,BSE,Exit Of ONGC Petro Additions Limited From SEZ
2025-03-17,"An Order dated 25.02.2025 has been received today i.e. 17.03.2025 form the Office of Joint Commissioner, State Tax, Circle C, Jodhpur.",BSE,"Disclosure Of Event Or Information Under Regulation 30 Of SEBI (LODR) Regulations, 2015"
2025-03-25,Outcome of Board Meeting held on 25.03.2025,BSE,Board Meeting Outcome for Outcome Of Board Meeting
2025-03-25,Change in Senior Management,BSE,Change In Senior Management
2025-03-26,Intimation for Closure of Trading Window- Annual Plan for Financial Year 2025-26.,BSE,Closure of Trading Window
2025-03-27,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015
(i) Investment in ONGC Green Limited
(ii) Acquisition of Ayana Renewable Power Private Limited",BSE,Announcement under Regulation 30 (LODR)-Acquisition
2025-03-28,Appointment of Independent Directors,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2025-04-01,Change in Senior Management,BSE,Change In Senior Management
2025-04-02,Postal Ballot Notice dated 02.04.2025,BSE,Shareholder Meeting / Postal Ballot-Notice of Postal Ballot
2025-04-03,Newspaper clippings of Postal Ballot Notice and Remote E-voting,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-04-04,"Compliance Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 31.03.2025.",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2025-05-03,Scrutinizer''s Report and Voting Results of Postal Ballot,BSE,"Shareholder Meeting / Postal Ballot-Scrutinizer""s Report"
2025-05-05,"Shell, Reliance and ONGC set benchmark with India''s first offshore facilities decommissioning project.",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-05-08,"Denial on Media Report(s) dated 08.05.2025 regarding ""ONGC cancels Mumbai High Tender, uncertainty looms over bp partnership.",BSE,Rumour verification - Regulation 30(11)
2025-05-08,"Oil And Natural Gas Corporation Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 21/05/2025 ,inter alia, to consider and approve Audited Financial ....",BSE,"Board Meeting Intimation for Consideration And Approval Of Audited Financial Results Of The Company For The Quarter And Financial Year Ended 31St March, 2025 And Recommendation Of Final Dividend, If Any, For The Financial Year Ended On 31St March, 2025."
2025-05-19,Intimation of Conference call with Analyst(s) & Investor(s) on Q4 FY'25 Financial Results,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-05-21,ONGC declares results for Financial Year 2024-25 posts net profit  of Rs.35610 crore,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-05-21,The Board of Directors has recommended final dividend at the rate of Rs. 1.25/- per equity share of face value of Rs. 5/- each i.e. @25% for the Financial Year 2024-25 subject to the approval ....,BSE,Board Meeting Outcome for Recommendation Of Final Dividend For Financial Year 2024-25.
2025-05-21,The Board of Directors has approved Integrated Financial Results for the Financial year ended 31.03.2025,BSE,Integrated  Financial  Results For The Financial Year Ended 31.03.2025
2025-05-22,Link for Audio Recording of Conference call with Analyst(s) & Investor(s),BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-05-25,Production Resumes from offshore PY-3 field in Cauvery Basin by ONGC -Led JV,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
