date,headline,source,summary
2024-07-11,Allotment of Bonds,BSE,Announcement under Regulation 30 (LODR)-Allotment
2024-07-20,GRI Certified Sustainability Report FY 2023-24,BSE,GRI Certified Sustainability Report FY 2023-24
2024-07-22,Analyst Meet Post Q1FY25,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-07-22,"STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 03/08/2024 ,inter alia, to consider and approve financial results for the quarter ....",BSE,Board Meeting Intimation for Financial Results For The Quarter Ended 30.06.2024
2024-07-24,"Signing of Non-binding MOU with FCDO, UK",BSE,Signing Of Non-Binding Mou With FCDO
2024-07-29,Details of investor meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-07-30,"STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 03/08/2024 ,inter alia, to consider and approve Update on board meeting 
The ....",BSE,Update on board meeting
2024-07-31,Change in Senior Management,BSE,Change In Senior Management
2024-08-03,Audio Recording of Analyst /Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-08-03,Statement of Deviation & Variation 30.06.2024,BSE,Statement Of Deviation & Variation
2024-08-03,Investor Presentation Q1FY25,BSE,Announcement under Regulation 30 (LODR)-Investor Presentation
2024-08-03,Financial Results for the quarter ended 30.06.2024,BSE,Financial Results For The Quarter Ended 30.06.2024
2024-08-03,Outcome of Board Meeting - Financial Results and Fund Raising,BSE,Board Meeting Outcome for Outcome Of Board Meeting - Financial Results And Fund Raising
2024-08-03,Financial Results Q1FY25,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-08-05,Newspaper Publication of Financial Results,BSE,Newspaper Publication For Financial Results
2024-08-06,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-08-06,"Code of Conduct under SEBI (PIT) Regulations, 2015",BSE,Code Of Conduct Under SEBI (PIT) Regulations
2024-08-07,"Interaction organised by Nuvama
Time of Meeting
9 am to 9:50 am SGT
10 am to 10:50 am SGT
2 pm to 2:50 pm SGT
4 pm to 4:50 pm SGT",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-08-07,"Interaction organised by Nuvama
Time of the meeting
11 am to 11:50 am SGT
1 pm to 1:50 pm SGT",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-08-07,"Appointment of Shri Challa Sreenivasulu Setty as Chairman, SBI",BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-08-07,"Appointment of Shri Rana Ashutosh Kumar Singh as MD, SBI",BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-08-08,"Brief profile and other details of Shri Rana Ashutosh Kumar Singh, MD",BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-08-08,Sale of stake in Clearing Corporation of India Limited,BSE,Sale Of Stake In CCIL
2024-08-09,Transcript of meeting dated 03.08.2024,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-08-09,Meeting organized by Motilal Oswal Financial Services Limited,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-08-12,Investor interaction arranged by Nuvama,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-08-13,Investor meeting organised by Nuvama at Singapore,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-08-19,Group Meeting arranged by Motilal Oswal Financial Services Limited,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-08-21,Credit Rating by India Ratings,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-08-28,"Brief Profile of Shri CS Setty, Chairman, State Bank of India",BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-08-28,Appointment of Chairman,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-08-28,Updates on Bidding for Basel III Tier 2 Bonds,BSE,Updates On Bidding For The Bank'S Basel III Compliant Tier 2 Bond Issuance
2024-08-28,Press Release,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release (Revised)
2024-08-29,Allotment of 7500 Basel III Compliant Tier 2 Bonds in the nature of debentures of face value of Rs. 1 crore each,BSE,Announcement under Regulation 30 (LODR)-Allotment
2024-08-30,Nomination of Shri Nagaraju Maddirala as Nominee Director,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-08-30,Analyst / Investor meet organised by Elara Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-09-02,Brief profile of Shri Nagaraju Maddirala,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-09-02,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-09-02,Newspaper advertisement for loss of share certificate,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-09-04,Investor interaction arranged by Elara Capital,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-09-05,Interaction with Institutional Investors / Analysts arranged by Morgan Stanley,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-09-11,Notice for shareholders of the Bank,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-09-11,Press Release Bank SBI Indonesia,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-09-11,Investor / Analysts meet arranged by Jefferies,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
